y_true,probability,prediction
0,0.4038466124495075,0
1,0.7888576809734897,1
0,0.21686956715487313,0
1,0.5499298854990007,1
0,0.16797567727293267,0
0,0.0045733196466043345,0
0,0.013347632402582178,0
0,0.021535338928495816,0
0,0.2755749912692102,0
0,0.0228424121063156,0
0,0.10142711765156395,0
1,0.9940674367618398,1
0,0.042435735172704124,0
0,0.40838534516376457,0
0,0.0011259399827086426,0
0,0.34253225871869686,0
0,0.5522001395060963,1
0,0.00016453170056588947,0
0,0.4952708050547313,0
0,0.08011710297074258,0
0,0.7481821735942495,1
0,0.507964811000312,1
0,0.03597189971143235,0
0,0.03096930602104391,0
0,0.4985092002313187,0
0,0.12897835308118596,0
1,0.7154382352750285,1
1,0.24969975609338207,0
0,0.005724008785528985,0
1,0.40122742852597376,0
0,0.3566039142013177,0
0,0.6191502092175636,1
0,0.19467454094011905,0
0,0.466838160165571,0
0,0.06758180884395193,0
0,0.07330600712820035,0
1,0.9322543659051443,1
0,0.11768407322531442,0
0,0.2940113708039714,0
1,0.10351192272721636,0
0,0.17349133423147794,0
0,0.14503245271301712,0
0,0.07223063348011807,0
0,0.015907705211098237,0
0,0.005357182562167088,0
0,0.3332983039787899,0
1,0.7971366633457376,1
1,0.9956428744587363,1
1,0.9483984371042637,1
0,0.2619595321196924,0
0,0.037067203111483746,0
0,0.3027349823532898,0
1,0.6470580983594028,1
0,0.01033204609956455,0
0,0.86119702858693,1
0,0.6096279778518342,1
0,0.019678036697581253,0
1,0.86241231150843,1
0,0.16627420399926715,0
0,0.021173671595265557,0
0,0.07305033433575056,0
0,0.006207251994905711,0
0,0.4099329967230239,0
0,0.12527413017204117,0
0,0.38790688934247136,0
0,0.04338018099405637,0
0,0.4070608823992909,0
0,0.041820154531752356,0
0,0.6191250982981448,1
0,0.7548633244762887,1
0,0.25802619912623087,0
0,0.008061766625898826,0
0,0.728343239711617,1
0,0.010177746205423275,0
0,0.015504734672726311,0
1,0.8239985498203282,1
0,0.006696530685304053,0
0,0.010389202571756607,0
0,0.4646370832287385,0
1,0.9935843479916044,1
0,0.02377337084240787,0
0,0.8739055506409739,1
0,0.7912403069045196,1
0,0.10998632448082275,0
0,0.6349086180487581,1
0,0.014124499386661,0
1,0.8369416803850587,1
0,0.0005759012133918932,0
0,0.011783336233495428,0
1,0.7270329311739084,1
0,0.014508344108115061,0
1,0.9387509064487675,1
1,0.5228608999821222,1
0,0.034051729317900126,0
0,0.8156249496911979,1
1,0.638258450027393,1
0,0.12266196299725256,0
0,0.016708512055062685,0
0,0.577661593199846,1
0,0.0019557163007959386,0
0,0.26154715859152605,0
0,0.6689054507801686,1
0,0.12913767830644735,0
1,0.9781025501019985,1
0,0.016550653132704665,0
0,0.29929566278714587,0
1,0.7077118746385683,1
0,0.007205111475735896,0
0,0.11254119134929837,0
0,0.030428134963642037,0
0,0.011373393679224575,0
1,0.9840770871264861,1
1,0.2563774087940382,0
0,0.2899753104586867,0
0,0.013964540605451268,0
1,0.6371771883153838,1
0,0.048244874279142015,0
0,0.00027213932342078014,0
0,0.1579804693161029,0
0,0.7794233728157882,1
0,0.03630928665920241,0
0,0.007360125118491137,0
0,0.533136195894147,1
0,0.00668369955918822,0
1,0.27489945070493255,0
0,0.011356319668939118,0
0,0.3486548962131016,0
0,0.15465582411113674,0
1,0.9841864368979052,1
0,0.4247191794278991,0
1,0.6197020338354837,1
0,0.13595908573074383,0
0,0.016643037037245095,0
1,0.9033369182098994,1
0,0.2570335569073007,0
0,0.270673658489542,0
0,0.2396397047905222,0
0,0.0031291620566575285,0
0,0.22880716624594405,0
0,0.03613598842772534,0
0,0.046599510851722495,0
1,0.8791064295084858,1
0,0.03216294578313159,0
0,0.29778459819595887,0
0,0.1657576055567923,0
0,0.09231851062696846,0
0,0.17235727105836776,0
0,0.3429409883869879,0
0,0.5230173034892747,1
0,0.0029611515975635247,0
0,0.35190158489335716,0
0,0.34100786563546837,0
0,0.004616077100198901,0
0,0.1258709874182744,0
0,0.16172763611577398,0
0,0.07706407317582227,0
0,0.7186454023188467,1
1,0.8774805575830255,1
0,0.6987020593983164,1
1,0.6097029089230019,1
0,0.46540165415643553,0
0,0.15125620501972578,0
0,0.5313253532478456,1
1,0.9788244577291365,1
0,0.305432247722277,0
1,0.9786387075723895,1
0,0.5552015008032554,1
0,0.09027649240386944,0
0,0.022751879802455983,0
0,0.20019985834113002,0
0,0.20404782421715148,0
0,0.5768195315527886,1
0,0.015076110785588365,0
1,0.6391714775380495,1
0,0.30999140362646316,0
0,0.02756550778424539,0
0,0.02008159570843601,0
0,0.5660125450461899,1
0,0.010279155682569093,0
0,0.11404744118884994,0
0,0.08758923675066602,0
0,0.7143105277130181,1
